,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
35,,landed,arrival,AI,AIC,Air India,2025-09-23T11:21:00.000,2025-09-23T11:21:00.000,,,2025-09-23T11:21:00.000,2025-09-23T11:22:00.000,,BOM,VABB,2025-09-23T11:25:00.000,2,2025-09-22T21:58:00.000,2025-09-22T21:58:00.000,,53,2025-09-22T21:58:00.000,2025-09-22T21:05:00.000,B46,LHR,EGLL,2025-09-22T21:05:00.000,2,AI130,AIC130,130,,,,,,
36,,landed,arrival,AI,AIC,Air India,2025-09-23T11:24:00.000,2025-09-23T11:24:00.000,14,,2025-09-23T11:24:00.000,2025-09-23T11:24:00.000,,BOM,VABB,2025-09-23T11:25:00.000,2,2025-09-23T09:19:00.000,2025-09-23T09:19:00.000,,35,2025-09-23T09:19:00.000,2025-09-23T09:04:00.000,04,IXC,VICG,2025-09-23T08:45:00.000,,AI654,AIC654,654,,,,,,
37,,landed,arrival,AI,AIC,Air India,2025-09-23T10:27:00.000,2025-09-23T10:27:00.000,11,,2025-09-23T10:27:00.000,2025-09-23T10:27:00.000,,BOM,VABB,2025-09-23T11:25:00.000,2,2025-09-23T08:48:00.000,2025-09-23T08:48:00.000,,,2025-09-23T08:48:00.000,2025-09-23T09:00:00.000,3,CJB,VOCB,2025-09-23T09:00:00.000,,AI2508,AIC2508,2508,,,,,,
38,,landed,arrival,AI,AIC,Air India,2025-09-23T11:00:00.000,2025-09-23T11:00:00.000,12,,2025-09-23T11:00:00.000,2025-09-23T11:01:00.000,,BOM,VABB,2025-09-23T11:25:00.000,2,2025-09-23T09:17:00.000,2025-09-23T09:17:00.000,,17,2025-09-23T09:17:00.000,2025-09-23T09:02:00.000,47,DEL,VIDP,2025-09-23T09:00:00.000,3,AI2963,AIC2963,2963,,,,,,
39,,landed,arrival,JL,JTL,Jet Linx Aviation,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,1,,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T09:12:00.000,2025-09-23T09:12:00.000,,12,2025-09-23T09:12:00.000,2025-09-23T09:07:00.000,D14,DEL,VIDP,2025-09-23T09:00:00.000,1,JL9076,JTL9076,9076,6e,igo,indigo,6e6107,igo6107,6107
40,,landed,arrival,QF,QFA,Qantas,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,1,,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T09:12:00.000,2025-09-23T09:12:00.000,,12,2025-09-23T09:12:00.000,2025-09-23T09:07:00.000,D14,DEL,VIDP,2025-09-23T09:00:00.000,1,QF5283,QFA5283,5283,6e,igo,indigo,6e6107,igo6107,6107
41,,landed,arrival,TK,THY,Turkish Airlines,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,1,,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T09:12:00.000,2025-09-23T09:12:00.000,,12,2025-09-23T09:12:00.000,2025-09-23T09:07:00.000,D14,DEL,VIDP,2025-09-23T09:00:00.000,1,TK4734,THY4734,4734,6e,igo,indigo,6e6107,igo6107,6107
42,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,1,,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T09:12:00.000,2025-09-23T09:12:00.000,,12,2025-09-23T09:12:00.000,2025-09-23T09:07:00.000,D14,DEL,VIDP,2025-09-23T09:00:00.000,1,VS8738,VIR8738,8738,6e,igo,indigo,6e6107,igo6107,6107
43,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,1,,2025-09-23T10:53:00.000,2025-09-23T10:53:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T09:12:00.000,2025-09-23T09:12:00.000,,12,2025-09-23T09:12:00.000,2025-09-23T09:07:00.000,D14,DEL,VIDP,2025-09-23T09:00:00.000,1,6E6107,IGO6107,6107,,,,,,
44,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T11:03:00.000,2025-09-23T11:03:00.000,2,,2025-09-23T11:03:00.000,2025-09-23T11:00:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T10:03:00.000,2025-09-23T10:03:00.000,,9,2025-09-23T10:03:00.000,2025-09-23T09:55:00.000,T1G1,AMD,VAAH,2025-09-23T09:55:00.000,T1,VS8271,VIR8271,8271,6e,igo,indigo,6e6468,igo6468,6468
45,,landed,arrival,6E,IGO,IndiGo,2025-09-23T11:03:00.000,2025-09-23T11:03:00.000,2,,2025-09-23T11:03:00.000,2025-09-23T11:00:00.000,,BOM,VABB,2025-09-23T11:35:00.000,2,2025-09-23T10:03:00.000,2025-09-23T10:03:00.000,,9,2025-09-23T10:03:00.000,2025-09-23T09:55:00.000,T1G1,AMD,VAAH,2025-09-23T09:55:00.000,T1,6E6468,IGO6468,6468,,,,,,
46,,landed,arrival,AI,AIC,Air India,2025-09-23T11:58:00.000,2025-09-23T11:58:00.000,,8,2025-09-23T11:58:00.000,2025-09-23T11:55:00.000,,BOM,VABB,2025-09-23T11:50:00.000,2,2025-09-22T12:04:00.000,2025-09-22T12:04:00.000,,55,2025-09-22T12:04:00.000,,A3,JFK,KJFK,2025-09-22T11:10:00.000,4,AI116,AIC116,116,,,,,,
47,,landed,arrival,AI,AIC,Air India,2025-09-23T11:12:00.000,2025-09-23T11:12:00.000,13,,2025-09-23T11:12:00.000,2025-09-23T11:12:00.000,,BOM,VABB,2025-09-23T11:55:00.000,2,2025-09-23T09:30:00.000,2025-09-23T09:30:00.000,,,2025-09-23T09:30:00.000,2025-09-23T09:35:00.000,18,MAA,VOMM,2025-09-23T09:35:00.000,T4,AI2822,AIC2822,2822,,,,,,
