,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
51,,active,departure,AI,AIC,Air India,,,3,,,2025-09-23T13:44:00.000,,DEL,VIDP,2025-09-23T14:05:00.000,3,2025-09-23T12:03:00.000,2025-09-23T12:03:00.000,,13,2025-09-23T12:03:00.000,2025-09-23T11:44:00.000,87A,BOM,VABB,2025-09-23T11:50:00.000,2,AI2419,AIC2419,2419,,,,,,
52,,active,departure,VS,VIR,Virgin Atlantic,,,,,,2025-09-23T13:34:00.000,,MAA,VOMM,2025-09-23T13:50:00.000,T1,2025-09-23T12:01:00.000,2025-09-23T12:01:00.000,,11,2025-09-23T12:01:00.000,2025-09-23T11:42:00.000,22,BOM,VABB,2025-09-23T11:50:00.000,1,VS8594,VIR8594,8594,6e,igo,indigo,6e5206,igo5206,5206
53,,active,departure,6E,IGO,IndiGo,,,,,,2025-09-23T13:34:00.000,,MAA,VOMM,2025-09-23T13:50:00.000,T1,2025-09-23T12:01:00.000,2025-09-23T12:01:00.000,,11,2025-09-23T12:01:00.000,2025-09-23T11:42:00.000,22,BOM,VABB,2025-09-23T11:50:00.000,1,6E5206,IGO5206,5206,,,,,,
54,,active,departure,TK,THY,Turkish Airlines,,,3,,,2025-09-23T13:19:00.000,,HYD,VOHS,2025-09-23T13:35:00.000,,2025-09-23T12:11:00.000,2025-09-23T12:11:00.000,,17,2025-09-23T12:11:00.000,2025-09-23T12:09:00.000,23,BOM,VABB,2025-09-23T11:55:00.000,1,TK4745,THY4745,4745,6e,igo,indigo,6e5097,igo5097,5097
55,,active,departure,VS,VIR,Virgin Atlantic,,,3,,,2025-09-23T13:19:00.000,,HYD,VOHS,2025-09-23T13:35:00.000,,2025-09-23T12:11:00.000,2025-09-23T12:11:00.000,,17,2025-09-23T12:11:00.000,2025-09-23T12:09:00.000,23,BOM,VABB,2025-09-23T11:55:00.000,1,VS8556,VIR8556,8556,6e,igo,indigo,6e5097,igo5097,5097
56,,active,departure,6E,IGO,IndiGo,,,3,,,2025-09-23T13:19:00.000,,HYD,VOHS,2025-09-23T13:35:00.000,,2025-09-23T12:11:00.000,2025-09-23T12:11:00.000,,17,2025-09-23T12:11:00.000,2025-09-23T12:09:00.000,23,BOM,VABB,2025-09-23T11:55:00.000,1,6E5097,IGO5097,5097,,,,,,
57,,active,departure,AI,AIC,Air India,,,,4,,2025-09-23T13:49:00.000,,CJB,VOCB,2025-09-23T13:45:00.000,,2025-09-23T12:18:00.000,2025-09-23T12:18:00.000,,18,2025-09-23T12:18:00.000,2025-09-23T12:03:00.000,51,BOM,VABB,2025-09-23T12:00:00.000,2,AI683,AIC683,683,,,,,,
58,,active,departure,AI,AIC,Air India,,,,,,,,GOI,VOGO,2025-09-23T13:15:00.000,,2025-09-23T12:53:00.000,2025-09-23T12:53:00.000,,53,2025-09-23T12:53:00.000,2025-09-23T12:19:00.000,,BOM,VABB,2025-09-23T12:00:00.000,2,AI9531,AIC9531,9531,ix,axb,air india express,ix1070,axb1070,1070
59,,active,departure,IX,AXB,Air India Express,,,,,,,,GOI,VOGO,2025-09-23T13:15:00.000,,2025-09-23T12:53:00.000,2025-09-23T12:53:00.000,,53,2025-09-23T12:53:00.000,2025-09-23T12:19:00.000,,BOM,VABB,2025-09-23T12:00:00.000,2,IX1070,AXB1070,1070,,,,,,
60,,active,departure,VS,VIR,Virgin Atlantic,,,,,,2025-09-23T13:36:00.000,,GWL,VIGR,2025-09-23T14:00:00.000,,2025-09-23T12:05:00.000,2025-09-23T12:05:00.000,,6,2025-09-23T12:05:00.000,2025-09-23T12:02:00.000,24,BOM,VABB,2025-09-23T12:00:00.000,1,VS8552,VIR8552,8552,6e,igo,indigo,6e5276,igo5276,5276
61,,active,departure,6E,IGO,IndiGo,,,,,,2025-09-23T13:36:00.000,,GWL,VIGR,2025-09-23T14:00:00.000,,2025-09-23T12:05:00.000,2025-09-23T12:05:00.000,,6,2025-09-23T12:05:00.000,2025-09-23T12:02:00.000,24,BOM,VABB,2025-09-23T12:00:00.000,1,6E5276,IGO5276,5276,,,,,,
62,,active,departure,AI,AIC,Air India,,,,,,,,BBI,VEBS,2025-09-23T14:30:00.000,1,,,,28,,2025-09-23T12:33:00.000,50,BOM,VABB,2025-09-23T12:05:00.000,2,AI9416,AIC9416,9416,ix,axb,air india express,ix1238,axb1238,1238
63,,active,departure,IX,AXB,Air India Express,,,,,,,,BBI,VEBS,2025-09-23T14:30:00.000,1,,,,28,,2025-09-23T12:33:00.000,50,BOM,VABB,2025-09-23T12:05:00.000,2,IX1238,AXB1238,1238,,,,,,
64,,active,departure,VS,VIR,Virgin Atlantic,,,,,,2025-09-23T13:43:00.000,,JDH,VIJO,2025-09-23T13:50:00.000,,2025-09-23T11:27:00.000,2025-09-23T11:27:00.000,,,2025-09-23T11:27:00.000,2025-09-23T12:04:00.000,21,BOM,VABB,2025-09-23T12:05:00.000,1,VS8581,VIR8581,8581,6e,igo,indigo,6e5274,igo5274,5274
65,,active,departure,6E,IGO,IndiGo,,,,,,2025-09-23T13:43:00.000,,JDH,VIJO,2025-09-23T13:50:00.000,,2025-09-23T11:27:00.000,2025-09-23T11:27:00.000,,,2025-09-23T11:27:00.000,2025-09-23T12:04:00.000,21,BOM,VABB,2025-09-23T12:05:00.000,1,6E5274,IGO5274,5274,,,,,,
66,,active,departure,VS,VIR,Virgin Atlantic,,,,,,2025-09-23T13:55:00.000,,IXD,VEAB,2025-09-23T14:15:00.000,,2025-09-23T12:15:00.000,2025-09-23T12:15:00.000,,10,2025-09-23T12:15:00.000,2025-09-23T12:13:00.000,,BOM,VABB,2025-09-23T12:05:00.000,2,VS8572,VIR8572,8572,6e,igo,indigo,6e6937,igo6937,6937
67,,active,departure,6E,IGO,IndiGo,,,,,,2025-09-23T13:55:00.000,,IXD,VEAB,2025-09-23T14:15:00.000,,2025-09-23T12:15:00.000,2025-09-23T12:15:00.000,,10,2025-09-23T12:15:00.000,2025-09-23T12:13:00.000,,BOM,VABB,2025-09-23T12:05:00.000,2,6E6937,IGO6937,6937,,,,,,
