status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,JL,Jet Linx Aviation,,,2025-09-23T14:19:00.000,BLR,2025-09-23T14:40:00.000,2025-09-23T13:02:00.000,17.0,2025-09-23T12:34:00.000,BOM,2025-09-23T12:45:00.000,JL9760
active,departure,QF,Qantas,,,2025-09-23T14:19:00.000,BLR,2025-09-23T14:40:00.000,2025-09-23T13:02:00.000,17.0,2025-09-23T12:34:00.000,BOM,2025-09-23T12:45:00.000,QF5068
active,departure,VS,Virgin Atlantic,,,2025-09-23T14:19:00.000,BLR,2025-09-23T14:40:00.000,2025-09-23T13:02:00.000,17.0,2025-09-23T12:34:00.000,BOM,2025-09-23T12:45:00.000,VS8495
active,departure,6E,IndiGo,,,2025-09-23T14:19:00.000,BLR,2025-09-23T14:40:00.000,2025-09-23T13:02:00.000,17.0,2025-09-23T12:34:00.000,BOM,2025-09-23T12:45:00.000,6E5212
active,departure,TK,Turkish Airlines,,,,CCU,2025-09-23T15:35:00.000,,215.0,2025-09-23T16:25:00.000,BOM,2025-09-23T12:50:00.000,TK4739
active,departure,VS,Virgin Atlantic,,,,CCU,2025-09-23T15:35:00.000,,215.0,2025-09-23T16:25:00.000,BOM,2025-09-23T12:50:00.000,VS8512
active,departure,6E,IndiGo,,,,CCU,2025-09-23T15:35:00.000,,215.0,2025-09-23T16:25:00.000,BOM,2025-09-23T12:50:00.000,6E5395
active,departure,6E,IndiGo,,,2025-09-23T15:06:00.000,AIP,2025-09-23T15:15:00.000,2025-09-23T13:08:00.000,13.0,2025-09-23T12:55:00.000,BOM,2025-09-23T12:55:00.000,6E5931
active,departure,AI,Air India,,,2025-09-23T14:53:00.000,DEL,2025-09-23T15:15:00.000,2025-09-23T13:11:00.000,11.0,2025-09-23T12:57:00.000,BOM,2025-09-23T13:00:00.000,AI2677
active,departure,QP,Akasa Air,,,2025-09-23T14:57:00.000,DEL,2025-09-23T15:15:00.000,2025-09-23T13:16:00.000,16.0,2025-09-23T13:00:00.000,BOM,2025-09-23T13:00:00.000,QP1127
active,departure,AA,American Airlines,,,2025-09-23T17:38:00.000,LHR,2025-09-23T18:20:00.000,2025-09-23T13:14:00.000,9.0,2025-09-23T13:05:00.000,BOM,2025-09-23T13:05:00.000,AA6660
