status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
landed,arrival,VS,Virgin Atlantic,2025-09-23T11:03:00.000,,2025-09-23T11:00:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T10:03:00.000,9.0,2025-09-23T09:55:00.000,AMD,2025-09-23T09:55:00.000,VS8271
landed,arrival,6E,IndiGo,2025-09-23T11:03:00.000,,2025-09-23T11:00:00.000,BOM,2025-09-23T11:35:00.000,2025-09-23T10:03:00.000,9.0,2025-09-23T09:55:00.000,AMD,2025-09-23T09:55:00.000,6E6468
landed,arrival,AI,Air India,2025-09-23T11:58:00.000,8.0,2025-09-23T11:55:00.000,BOM,2025-09-23T11:50:00.000,2025-09-22T12:04:00.000,55.0,,JFK,2025-09-22T11:10:00.000,AI116
landed,arrival,AI,Air India,2025-09-23T11:12:00.000,,2025-09-23T11:12:00.000,BOM,2025-09-23T11:55:00.000,2025-09-23T09:30:00.000,,2025-09-23T09:35:00.000,MAA,2025-09-23T09:35:00.000,AI2822
landed,arrival,AI,Air India,2025-09-23T11:31:00.000,,2025-09-23T11:28:00.000,BOM,2025-09-23T12:00:00.000,2025-09-23T09:51:00.000,11.0,2025-09-23T09:33:00.000,VTZ,2025-09-23T09:40:00.000,AI9853
landed,arrival,IX,Air India Express,2025-09-23T11:31:00.000,,2025-09-23T11:28:00.000,BOM,2025-09-23T12:00:00.000,2025-09-23T09:51:00.000,11.0,2025-09-23T09:33:00.000,VTZ,2025-09-23T09:40:00.000,IX1027
landed,arrival,JL,Jet Linx Aviation,2025-09-23T11:45:00.000,,2025-09-23T11:41:00.000,BOM,2025-09-23T12:00:00.000,2025-09-23T10:24:00.000,14.0,2025-09-23T10:10:00.000,BLR,2025-09-23T10:10:00.000,JL9753
landed,arrival,QF,Qantas,2025-09-23T11:45:00.000,,2025-09-23T11:41:00.000,BOM,2025-09-23T12:00:00.000,2025-09-23T10:24:00.000,14.0,2025-09-23T10:10:00.000,BLR,2025-09-23T10:10:00.000,QF5065
landed,arrival,VS,Virgin Atlantic,2025-09-23T11:45:00.000,,2025-09-23T11:41:00.000,BOM,2025-09-23T12:00:00.000,2025-09-23T10:24:00.000,14.0,2025-09-23T10:10:00.000,BLR,2025-09-23T10:10:00.000,VS8337
landed,arrival,6E,IndiGo,2025-09-23T11:45:00.000,,2025-09-23T11:41:00.000,BOM,2025-09-23T12:00:00.000,2025-09-23T10:24:00.000,14.0,2025-09-23T10:10:00.000,BLR,2025-09-23T10:10:00.000,6E5051
