status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,IX,Air India Express,,1.0,2025-09-23 14:36:00,VNS,2025-09-23 14:35:00,2025-09-23 12:44:00,30.0,2025-09-23 12:19:00,BOM,2025-09-23 12:15:00,IX1023
active,departure,AI,Air India,,10.0,2025-09-23 15:14:00,CCU,2025-09-23 15:05:00,2025-09-23 12:47:00,28.0,2025-09-23 12:19:00,BOM,2025-09-23 12:20:00,AI2901
active,departure,AI,Air India,,4.0,2025-09-23 15:03:00,CMB,2025-09-23 15:00:00,2025-09-23 12:55:00,30.0,2025-09-23 12:29:00,BOM,2025-09-23 12:25:00,AI276
active,departure,AI,Air India,,,2025-09-23 14:25:00,DEL,2025-09-23 14:55:00,2025-09-23 12:41:00,12.0,2025-09-23 12:09:00,BOM,2025-09-23 12:30:00,AI2952
active,departure,BA,British Airways,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,BA8777
active,departure,JL,Jet Linx Aviation,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,JL9262
active,departure,QF,Qantas,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,QF5298
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,VS8535
active,departure,6E,IndiGo,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,6E6028
active,departure,VS,Virgin Atlantic,,6.0,2025-09-23 15:06:00,PAT,2025-09-23 15:00:00,2025-09-23 12:59:00,25.0,2025-09-23 12:27:00,BOM,2025-09-23 12:35:00,VS8602
active,departure,6E,IndiGo,,6.0,2025-09-23 15:06:00,PAT,2025-09-23 15:00:00,2025-09-23 12:59:00,25.0,2025-09-23 12:27:00,BOM,2025-09-23 12:35:00,6E2043
active,departure,AI,Air India,,,2025-09-23 15:31:00,CCU,2025-09-23 15:35:00,2025-09-23 13:09:00,24.0,2025-09-23 12:43:00,BOM,2025-09-23 12:45:00,AI9884
active,departure,IX,Air India Express,,,2025-09-23 15:31:00,CCU,2025-09-23 15:35:00,2025-09-23 13:09:00,24.0,2025-09-23 12:43:00,BOM,2025-09-23 12:45:00,IX2782
active,departure,JL,Jet Linx Aviation,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,JL9760
active,departure,QF,Qantas,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,QF5068
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,VS8495
active,departure,6E,IndiGo,,,2025-09-23 14:19:00,BLR,2025-09-23 14:40:00,2025-09-23 13:02:00,17.0,2025-09-23 12:34:00,BOM,2025-09-23 12:45:00,6E5212
active,departure,TK,Turkish Airlines,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,TK4739
active,departure,VS,Virgin Atlantic,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,VS8512
active,departure,6E,IndiGo,,,,CCU,2025-09-23 15:35:00,,215.0,2025-09-23 16:25:00,BOM,2025-09-23 12:50:00,6E5395
active,departure,6E,IndiGo,,,2025-09-23 15:06:00,AIP,2025-09-23 15:15:00,2025-09-23 13:08:00,13.0,2025-09-23 12:55:00,BOM,2025-09-23 12:55:00,6E5931
active,departure,AI,Air India,,,2025-09-23 14:53:00,DEL,2025-09-23 15:15:00,2025-09-23 13:11:00,11.0,2025-09-23 12:57:00,BOM,2025-09-23 13:00:00,AI2677
active,departure,QP,Akasa Air,,,2025-09-23 14:57:00,DEL,2025-09-23 15:15:00,2025-09-23 13:16:00,16.0,2025-09-23 13:00:00,BOM,2025-09-23 13:00:00,QP1127
active,departure,AA,American Airlines,,,2025-09-23 17:38:00,LHR,2025-09-23 18:20:00,2025-09-23 13:14:00,9.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,AA6660
active,departure,BA,British Airways,,,2025-09-23 17:38:00,LHR,2025-09-23 18:20:00,2025-09-23 13:14:00,9.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,BA198
active,departure,QP,Akasa Air,,,2025-09-23 14:59:00,IXD,2025-09-23 15:20:00,2025-09-23 13:17:00,13.0,2025-09-23 13:05:00,BOM,2025-09-23 13:05:00,QP1546
active,departure,QP,Akasa Air,,,2025-09-23 15:18:00,VNS,2025-09-23 15:35:00,2025-09-23 13:25:00,16.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,QP1498
active,departure,VS,Virgin Atlantic,,,2025-09-23 14:57:00,KNU,2025-09-23 15:20:00,2025-09-23 13:12:00,2.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,VS8582
active,departure,6E,IndiGo,,,2025-09-23 14:57:00,KNU,2025-09-23 15:20:00,2025-09-23 13:12:00,2.0,2025-09-23 13:10:00,BOM,2025-09-23 13:10:00,6E824
active,departure,AI,Air India,,,2025-09-23 14:38:00,IXE,2025-09-23 15:00:00,2025-09-23 13:22:00,8.0,2025-09-23 13:07:00,BOM,2025-09-23 13:15:00,AI9669
active,departure,IX,Air India Express,,,2025-09-23 14:38:00,IXE,2025-09-23 15:00:00,2025-09-23 13:22:00,8.0,2025-09-23 13:07:00,BOM,2025-09-23 13:15:00,IX2546
active,departure,AI,Air India,,12.0,2025-09-23 16:12:00,CCU,2025-09-23 16:00:00,2025-09-23 13:52:00,28.0,2025-09-23 13:36:00,BOM,2025-09-23 13:25:00,AI179
